y_pred_svm,y_pred_nb,y_test_svm,y_test_nb
love,worry,worry,worry
worry,neutral,worry,love
neutral,neutral,neutral,sadness
happiness,worry,love,worry
worry,neutral,relief,love
happiness,happiness,happiness,relief
sadness,neutral,sadness,neutral
happiness,neutral,fun,love
neutral,worry,neutral,love
neutral,neutral,relief,fun
worry,worry,worry,worry
hate,neutral,hate,worry
worry,neutral,worry,neutral
love,love,happiness,love
worry,worry,neutral,happiness
love,worry,love,neutral
sadness,neutral,love,worry
worry,worry,surprise,neutral
worry,love,worry,relief
love,happiness,surprise,happiness
love,neutral,love,happiness
neutral,happiness,fun,happiness
worry,neutral,worry,relief
happiness,neutral,neutral,sadness
worry,worry,fun,love
neutral,worry,happiness,worry
neutral,neutral,worry,sadness
worry,neutral,worry,sadness
worry,worry,happiness,worry
love,worry,love,happiness
happiness,neutral,love,sadness
happiness,neutral,relief,neutral
neutral,neutral,sadness,neutral
worry,happiness,fun,happiness
worry,worry,worry,worry
worry,worry,neutral,sadness
neutral,worry,relief,sadness
happiness,love,relief,happiness
worry,worry,neutral,worry
love,neutral,neutral,neutral
neutral,neutral,fun,neutral
neutral,neutral,neutral,sadness
neutral,worry,happiness,worry
worry,neutral,worry,happiness
worry,happiness,sadness,happiness
neutral,happiness,neutral,relief
sadness,neutral,sadness,enthusiasm
worry,neutral,sadness,surprise
worry,worry,love,surprise
neutral,neutral,relief,hate
worry,worry,enthusiasm,happiness
worry,love,love,happiness
neutral,neutral,neutral,worry
neutral,sadness,fun,surprise
neutral,worry,worry,neutral
worry,happiness,relief,happiness
worry,neutral,surprise,neutral
happiness,neutral,neutral,worry
neutral,happiness,neutral,happiness
worry,worry,relief,happiness
happiness,neutral,love,worry
worry,neutral,worry,neutral
neutral,worry,neutral,sadness
neutral,neutral,enthusiasm,empty
neutral,worry,neutral,happiness
worry,neutral,neutral,neutral
love,neutral,love,worry
sadness,worry,sadness,worry
happiness,neutral,neutral,worry
neutral,worry,worry,relief
neutral,neutral,worry,happiness
happiness,neutral,happiness,worry
worry,neutral,fun,neutral
worry,neutral,love,sadness
happiness,neutral,love,worry
happiness,worry,happiness,neutral
neutral,neutral,hate,sadness
neutral,worry,worry,worry
neutral,neutral,neutral,neutral
neutral,love,empty,love
worry,worry,worry,sadness
neutral,happiness,happiness,surprise
happiness,neutral,happiness,surprise
worry,neutral,sadness,happiness
neutral,worry,sadness,worry
neutral,happiness,empty,sadness
neutral,worry,happiness,worry
worry,neutral,worry,happiness
worry,neutral,worry,neutral
love,worry,love,worry
neutral,love,worry,love
neutral,neutral,neutral,worry
happiness,worry,fun,surprise
worry,neutral,love,surprise
love,neutral,surprise,happiness
worry,worry,love,sadness
worry,love,sadness,happiness
neutral,neutral,happiness,happiness
neutral,neutral,worry,worry
neutral,happiness,worry,fun
worry,sadness,neutral,sadness
worry,worry,fun,worry
neutral,neutral,hate,love
neutral,neutral,surprise,worry
worry,sadness,neutral,relief
neutral,worry,happiness,worry
worry,neutral,neutral,worry
happiness,love,sadness,love
happiness,worry,happiness,empty
neutral,neutral,sadness,worry
neutral,happiness,neutral,fun
sadness,worry,sadness,empty
neutral,neutral,happiness,neutral
neutral,neutral,neutral,happiness
worry,neutral,sadness,worry
sadness,neutral,fun,neutral
love,neutral,relief,neutral
neutral,worry,neutral,relief
love,worry,sadness,sadness
love,neutral,love,neutral
neutral,neutral,surprise,worry
happiness,neutral,worry,neutral
neutral,worry,neutral,worry
happiness,worry,worry,sadness
neutral,neutral,neutral,neutral
worry,worry,fun,neutral
worry,worry,worry,surprise
neutral,neutral,happiness,neutral
happiness,neutral,happiness,fun
worry,happiness,worry,love
worry,worry,worry,surprise
worry,love,worry,love
neutral,neutral,empty,neutral
neutral,worry,worry,empty
worry,neutral,neutral,neutral
hate,neutral,worry,neutral
worry,happiness,worry,neutral
sadness,worry,sadness,neutral
neutral,neutral,surprise,worry
love,worry,love,neutral
worry,worry,worry,surprise
neutral,worry,happiness,worry
worry,neutral,sadness,sadness
neutral,worry,worry,worry
worry,worry,love,happiness
neutral,happiness,neutral,happiness
happiness,worry,happiness,worry
happiness,neutral,surprise,neutral
neutral,neutral,worry,worry
neutral,worry,happiness,worry
worry,neutral,sadness,neutral
neutral,neutral,surprise,happiness
love,love,happiness,love
love,neutral,worry,neutral
neutral,relief,enthusiasm,anger
love,neutral,worry,relief
worry,worry,neutral,worry
neutral,love,sadness,neutral
worry,neutral,relief,sadness
worry,neutral,hate,worry
neutral,neutral,worry,worry
happiness,neutral,relief,neutral
worry,happiness,worry,happiness
happiness,worry,happiness,fun
neutral,neutral,worry,happiness
neutral,neutral,worry,neutral
neutral,worry,relief,worry
neutral,neutral,sadness,sadness
neutral,happiness,neutral,happiness
neutral,neutral,neutral,relief
neutral,neutral,neutral,neutral
worry,worry,neutral,hate
neutral,love,neutral,love
worry,neutral,anger,worry
sadness,happiness,sadness,sadness
neutral,worry,neutral,hate
worry,worry,neutral,neutral
worry,worry,sadness,sadness
happiness,worry,enthusiasm,happiness
neutral,neutral,worry,neutral
neutral,sadness,relief,sadness
happiness,worry,sadness,worry
worry,worry,worry,neutral
sadness,neutral,sadness,worry
worry,love,sadness,love
love,worry,love,worry
happiness,worry,happiness,worry
happiness,sadness,neutral,love
relief,neutral,happiness,love
neutral,love,worry,love
worry,worry,relief,sadness
happiness,worry,happiness,sadness
happiness,happiness,relief,enthusiasm
happiness,worry,neutral,worry
neutral,worry,love,sadness
neutral,neutral,neutral,happiness
worry,neutral,worry,worry
surprise,neutral,happiness,worry
neutral,love,neutral,happiness
sadness,neutral,worry,neutral
worry,worry,neutral,worry
neutral,happiness,neutral,neutral
worry,worry,worry,surprise
worry,neutral,empty,surprise
worry,neutral,worry,happiness
happiness,sadness,happiness,hate
sadness,neutral,sadness,neutral
worry,neutral,neutral,worry
worry,neutral,surprise,love
worry,neutral,sadness,worry
sadness,worry,sadness,relief
love,neutral,love,neutral
worry,neutral,neutral,neutral
neutral,worry,sadness,empty
worry,happiness,worry,neutral
neutral,sadness,neutral,worry
sadness,neutral,sadness,neutral
worry,love,hate,love
neutral,happiness,sadness,love
worry,neutral,surprise,hate
neutral,neutral,sadness,sadness
worry,neutral,neutral,happiness
neutral,worry,neutral,worry
neutral,neutral,relief,neutral
sadness,love,sadness,love
worry,worry,surprise,sadness
neutral,happiness,worry,happiness
worry,neutral,neutral,happiness
worry,happiness,fun,worry
worry,neutral,worry,neutral
sadness,worry,sadness,sadness
happiness,worry,fun,hate
love,happiness,neutral,neutral
neutral,worry,worry,neutral
happiness,worry,sadness,sadness
worry,neutral,happiness,fun
neutral,neutral,happiness,relief
neutral,worry,worry,worry
love,neutral,happiness,love
neutral,happiness,fun,empty
worry,worry,love,fun
happiness,neutral,happiness,neutral
worry,worry,sadness,neutral
happiness,neutral,neutral,neutral
worry,worry,sadness,love
happiness,worry,surprise,sadness
worry,neutral,neutral,worry
neutral,neutral,neutral,worry
neutral,neutral,sadness,sadness
worry,neutral,happiness,neutral
love,worry,happiness,surprise
worry,worry,worry,worry
neutral,neutral,relief,neutral
sadness,worry,worry,surprise
worry,neutral,neutral,neutral
worry,sadness,hate,sadness
worry,neutral,worry,surprise
love,worry,relief,worry
surprise,neutral,sadness,neutral
sadness,neutral,hate,neutral
happiness,neutral,neutral,worry
happiness,neutral,happiness,neutral
worry,love,worry,neutral
worry,worry,sadness,worry
worry,neutral,neutral,neutral
sadness,worry,worry,relief
neutral,worry,worry,sadness
happiness,worry,love,neutral
neutral,neutral,sadness,happiness
love,worry,love,sadness
sadness,neutral,neutral,neutral
neutral,neutral,neutral,neutral
worry,worry,worry,hate
worry,neutral,sadness,boredom
happiness,worry,worry,sadness
neutral,neutral,happiness,sadness
neutral,love,surprise,happiness
worry,worry,sadness,neutral
worry,sadness,worry,hate
neutral,worry,worry,worry
happiness,neutral,neutral,fun
neutral,neutral,fun,worry
neutral,neutral,worry,happiness
neutral,worry,fun,relief
worry,happiness,worry,neutral
neutral,sadness,happiness,worry
worry,neutral,enthusiasm,neutral
love,worry,love,hate
happiness,worry,enthusiasm,sadness
worry,happiness,surprise,neutral
neutral,happiness,neutral,fun
neutral,worry,empty,worry
worry,neutral,surprise,surprise
worry,neutral,worry,empty
worry,worry,worry,surprise
worry,neutral,worry,sadness
happiness,neutral,relief,enthusiasm
worry,worry,worry,happiness
love,worry,love,worry
neutral,worry,neutral,neutral
happiness,happiness,happiness,neutral
neutral,worry,surprise,empty
happiness,worry,neutral,sadness
worry,worry,relief,surprise
neutral,neutral,hate,sadness
neutral,worry,neutral,neutral
love,worry,worry,neutral
neutral,worry,neutral,worry
love,neutral,love,worry
happiness,neutral,worry,happiness
worry,neutral,worry,surprise
neutral,sadness,happiness,empty
neutral,neutral,neutral,relief
love,happiness,love,surprise
worry,neutral,neutral,happiness
happiness,neutral,happiness,empty
worry,happiness,sadness,happiness
neutral,neutral,love,neutral
neutral,worry,love,happiness
worry,worry,neutral,love
worry,love,worry,love
worry,worry,worry,neutral
worry,neutral,sadness,happiness
worry,love,worry,love
worry,neutral,happiness,love
worry,worry,surprise,love
neutral,neutral,worry,fun
worry,neutral,worry,surprise
worry,worry,worry,love
sadness,neutral,sadness,sadness
love,neutral,love,neutral
worry,neutral,sadness,neutral
worry,worry,happiness,worry
neutral,neutral,worry,neutral
neutral,neutral,fun,fun
love,worry,happiness,happiness
neutral,love,sadness,love
sadness,love,sadness,love
love,worry,worry,sadness
neutral,neutral,neutral,fun
sadness,neutral,worry,enthusiasm
worry,neutral,love,worry
neutral,sadness,worry,sadness
sadness,neutral,sadness,neutral
neutral,neutral,worry,happiness
worry,neutral,worry,happiness
neutral,worry,worry,neutral
neutral,neutral,neutral,happiness
happiness,worry,sadness,worry
worry,worry,happiness,neutral
worry,happiness,neutral,surprise
happiness,worry,neutral,hate
neutral,love,love,worry
neutral,worry,empty,fun
neutral,neutral,enthusiasm,neutral
worry,neutral,worry,love
neutral,sadness,empty,worry
happiness,neutral,happiness,love
worry,worry,worry,happiness
love,worry,love,happiness
neutral,worry,enthusiasm,worry
worry,worry,surprise,neutral
neutral,neutral,empty,neutral
happiness,worry,relief,empty
sadness,worry,sadness,worry
love,neutral,love,worry
worry,worry,neutral,sadness
happiness,neutral,relief,happiness
worry,worry,worry,sadness
worry,worry,worry,empty
happiness,neutral,fun,neutral
neutral,happiness,fun,neutral
neutral,neutral,worry,relief
happiness,neutral,love,worry
worry,worry,worry,worry
happiness,neutral,surprise,love
neutral,happiness,relief,enthusiasm
happiness,happiness,happiness,sadness
worry,worry,sadness,worry
worry,neutral,sadness,surprise
worry,worry,fun,worry
worry,happiness,worry,neutral
happiness,neutral,love,neutral
neutral,worry,sadness,hate
love,worry,empty,worry
happiness,worry,happiness,fun
neutral,neutral,surprise,happiness
worry,worry,enthusiasm,sadness
worry,happiness,neutral,surprise
neutral,relief,neutral,worry
neutral,neutral,worry,neutral
love,worry,hate,sadness
love,love,happiness,happiness
worry,neutral,empty,enthusiasm
neutral,worry,enthusiasm,neutral
worry,happiness,surprise,neutral
worry,neutral,worry,neutral
worry,neutral,worry,happiness
love,neutral,surprise,neutral
hate,hate,hate,neutral
neutral,neutral,enthusiasm,sadness
worry,love,sadness,neutral
worry,happiness,fun,neutral
neutral,neutral,relief,sadness
worry,happiness,worry,happiness
worry,neutral,worry,worry
empty,worry,neutral,neutral
neutral,worry,neutral,happiness
neutral,worry,happiness,sadness
worry,love,relief,love
worry,worry,love,sadness
worry,love,worry,neutral
love,worry,love,happiness
love,worry,love,worry
neutral,happiness,hate,love
worry,neutral,sadness,worry
neutral,sadness,worry,worry
neutral,neutral,worry,happiness
worry,worry,surprise,sadness
neutral,neutral,neutral,sadness
worry,sadness,hate,sadness
neutral,worry,happiness,sadness
neutral,worry,happiness,worry
worry,sadness,neutral,sadness
neutral,neutral,neutral,worry
worry,neutral,love,worry
neutral,worry,love,worry
neutral,worry,empty,surprise
happiness,happiness,love,happiness
neutral,worry,worry,worry
neutral,worry,surprise,surprise
worry,happiness,sadness,fun
happiness,worry,happiness,enthusiasm
worry,sadness,neutral,sadness
neutral,neutral,neutral,surprise
worry,neutral,worry,worry
love,worry,love,worry
neutral,sadness,neutral,sadness
neutral,neutral,sadness,happiness
happiness,neutral,love,fun
worry,worry,sadness,happiness
happiness,neutral,happiness,worry
worry,neutral,happiness,love
neutral,love,neutral,relief
worry,neutral,worry,neutral
worry,neutral,worry,neutral
sadness,worry,worry,sadness
worry,happiness,sadness,happiness
worry,worry,surprise,hate
worry,neutral,neutral,surprise
worry,worry,neutral,neutral
neutral,neutral,surprise,relief
worry,worry,neutral,sadness
neutral,worry,neutral,worry
neutral,love,sadness,fun
happiness,worry,happiness,relief
neutral,neutral,surprise,love
neutral,neutral,worry,love
neutral,neutral,worry,happiness
love,worry,happiness,surprise
neutral,neutral,neutral,worry
neutral,happiness,neutral,fun
worry,neutral,boredom,worry
neutral,worry,worry,sadness
happiness,worry,worry,neutral
worry,neutral,happiness,neutral
worry,worry,worry,worry
neutral,worry,love,sadness
worry,happiness,empty,neutral
sadness,worry,worry,relief
neutral,worry,happiness,worry
worry,neutral,worry,sadness
worry,happiness,worry,surprise
worry,love,hate,fun
neutral,worry,neutral,fun
worry,neutral,neutral,neutral
worry,neutral,worry,surprise
neutral,happiness,neutral,neutral
happiness,worry,love,neutral
worry,happiness,worry,neutral
neutral,neutral,neutral,worry
neutral,worry,happiness,surprise
worry,worry,worry,neutral
happiness,happiness,neutral,happiness
happiness,neutral,love,fun
neutral,neutral,neutral,neutral
happiness,worry,love,worry
worry,worry,sadness,sadness
neutral,worry,worry,neutral
love,neutral,happiness,happiness
worry,worry,worry,hate
sadness,neutral,boredom,neutral
worry,neutral,worry,happiness
love,sadness,neutral,worry
worry,happiness,sadness,love
worry,worry,neutral,sadness
worry,worry,worry,sadness
neutral,neutral,neutral,neutral
happiness,happiness,happiness,happiness
happiness,neutral,love,surprise
neutral,worry,neutral,happiness
happiness,neutral,relief,happiness
worry,happiness,worry,hate
neutral,worry,neutral,sadness
worry,worry,empty,love
worry,happiness,sadness,love
sadness,sadness,worry,worry
neutral,worry,neutral,sadness
neutral,neutral,sadness,surprise
worry,sadness,happiness,worry
neutral,worry,neutral,worry
worry,worry,worry,sadness
worry,neutral,happiness,neutral
neutral,worry,love,neutral
hate,worry,worry,worry
worry,neutral,happiness,love
worry,neutral,happiness,sadness
neutral,neutral,neutral,love
neutral,neutral,worry,sadness
neutral,worry,sadness,sadness
happiness,worry,happiness,worry
worry,happiness,worry,neutral
neutral,happiness,worry,surprise
neutral,worry,neutral,sadness
love,worry,love,love
sadness,worry,hate,empty
neutral,worry,love,relief
worry,worry,worry,surprise
neutral,worry,sadness,happiness
worry,neutral,neutral,relief
neutral,sadness,surprise,neutral
happiness,worry,love,sadness
worry,neutral,sadness,fun
worry,neutral,worry,boredom
worry,neutral,worry,hate
worry,neutral,worry,neutral
neutral,neutral,surprise,neutral
sadness,neutral,sadness,neutral
happiness,worry,neutral,worry
neutral,love,neutral,love
worry,worry,worry,enthusiasm
worry,neutral,worry,worry
neutral,neutral,love,fun
neutral,neutral,neutral,worry
neutral,love,empty,love
worry,sadness,hate,worry
love,neutral,love,love
happiness,neutral,worry,neutral
neutral,neutral,neutral,happiness
love,neutral,love,sadness
worry,sadness,worry,neutral
worry,neutral,worry,surprise
neutral,neutral,neutral,empty
neutral,neutral,love,love
love,neutral,happiness,neutral
neutral,happiness,neutral,love
happiness,neutral,happiness,happiness
worry,neutral,sadness,relief
neutral,neutral,neutral,happiness
neutral,neutral,enthusiasm,love
worry,neutral,worry,happiness
love,neutral,love,neutral
neutral,neutral,surprise,neutral
worry,neutral,hate,fun
sadness,love,worry,love
happiness,neutral,fun,enthusiasm
worry,worry,sadness,worry
neutral,worry,worry,neutral
neutral,love,worry,surprise
worry,worry,fun,worry
worry,neutral,happiness,neutral
neutral,worry,neutral,happiness
worry,worry,neutral,relief
worry,neutral,neutral,worry
happiness,worry,love,worry
neutral,worry,happiness,worry
neutral,neutral,empty,neutral
neutral,neutral,neutral,empty
neutral,worry,worry,worry
neutral,happiness,worry,fun
worry,happiness,sadness,happiness
worry,neutral,worry,surprise
love,worry,love,enthusiasm
neutral,neutral,surprise,love
worry,neutral,sadness,enthusiasm
happiness,worry,worry,worry
worry,worry,hate,worry
worry,worry,happiness,neutral
love,neutral,neutral,sadness
happiness,worry,enthusiasm,worry
worry,neutral,sadness,sadness
happiness,worry,neutral,neutral
happiness,neutral,love,relief
worry,sadness,relief,sadness
relief,neutral,neutral,surprise
worry,neutral,sadness,relief
neutral,neutral,surprise,fun
happiness,neutral,happiness,sadness
love,worry,love,neutral
worry,worry,relief,sadness
worry,neutral,worry,neutral
worry,neutral,neutral,fun
neutral,happiness,worry,surprise
sadness,worry,sadness,sadness
worry,neutral,worry,happiness
love,neutral,love,happiness
worry,neutral,neutral,worry
neutral,neutral,neutral,fun
neutral,worry,sadness,neutral
sadness,neutral,surprise,surprise
happiness,worry,happiness,neutral
neutral,worry,neutral,sadness
sadness,happiness,neutral,happiness
love,worry,happiness,love
neutral,worry,worry,worry
worry,happiness,neutral,love
worry,worry,hate,sadness
worry,neutral,empty,fun
worry,neutral,neutral,worry
worry,worry,happiness,neutral
love,worry,love,love
neutral,love,happiness,love
worry,sadness,sadness,sadness
neutral,worry,neutral,worry
worry,neutral,worry,worry
happiness,worry,enthusiasm,worry
worry,neutral,sadness,happiness
worry,neutral,fun,love
worry,love,worry,love
sadness,love,sadness,love
love,worry,neutral,hate
neutral,neutral,hate,sadness
worry,neutral,hate,happiness
neutral,neutral,worry,neutral
happiness,neutral,happiness,happiness
worry,neutral,relief,sadness
neutral,neutral,relief,happiness
sadness,worry,worry,worry
neutral,worry,fun,happiness
worry,worry,love,hate
neutral,worry,worry,sadness
neutral,neutral,empty,surprise
neutral,worry,neutral,worry
worry,happiness,neutral,hate
happiness,neutral,neutral,surprise
neutral,love,neutral,love
worry,neutral,neutral,neutral
happiness,neutral,relief,love
worry,neutral,sadness,neutral
happiness,neutral,happiness,surprise
neutral,neutral,fun,neutral
worry,happiness,worry,worry
neutral,worry,neutral,hate
neutral,neutral,neutral,neutral
neutral,neutral,neutral,empty
worry,love,worry,happiness
neutral,happiness,worry,relief
neutral,neutral,neutral,love
sadness,happiness,worry,love
neutral,neutral,relief,worry
neutral,worry,worry,worry
sadness,happiness,sadness,happiness
neutral,worry,sadness,surprise
neutral,worry,neutral,neutral
worry,neutral,sadness,worry
love,neutral,worry,love
neutral,neutral,surprise,love
worry,worry,neutral,sadness
happiness,worry,love,neutral
worry,worry,surprise,love
worry,worry,worry,worry
worry,neutral,neutral,relief
worry,worry,fun,sadness
happiness,neutral,fun,love
love,worry,love,worry
worry,neutral,worry,fun
worry,neutral,worry,happiness
neutral,neutral,fun,neutral
worry,neutral,worry,worry
neutral,neutral,worry,fun
worry,worry,happiness,sadness
worry,worry,neutral,sadness
worry,neutral,worry,hate
worry,worry,sadness,happiness
neutral,neutral,happiness,neutral
worry,neutral,hate,worry
neutral,neutral,worry,empty
neutral,neutral,worry,neutral
worry,worry,surprise,worry
worry,neutral,worry,enthusiasm
worry,sadness,happiness,worry
worry,worry,worry,surprise
neutral,love,neutral,love
neutral,worry,worry,worry
worry,neutral,worry,happiness
worry,neutral,happiness,relief
neutral,worry,love,happiness
worry,worry,neutral,surprise
neutral,neutral,neutral,sadness
happiness,neutral,neutral,happiness
happiness,worry,happiness,worry
neutral,worry,happiness,fun
worry,worry,neutral,neutral
happiness,worry,love,sadness
neutral,neutral,neutral,neutral
worry,neutral,neutral,relief
neutral,neutral,happiness,surprise
worry,neutral,worry,sadness
worry,neutral,neutral,neutral
neutral,happiness,hate,surprise
worry,worry,love,hate
happiness,neutral,sadness,neutral
neutral,worry,surprise,surprise
neutral,worry,neutral,hate
worry,neutral,sadness,relief
neutral,worry,neutral,worry
love,worry,happiness,worry
worry,neutral,neutral,worry
worry,neutral,sadness,happiness
neutral,neutral,neutral,happiness
neutral,worry,neutral,happiness
sadness,neutral,worry,happiness
neutral,worry,enthusiasm,sadness
happiness,neutral,happiness,happiness
neutral,happiness,neutral,happiness
hate,worry,hate,worry
sadness,happiness,sadness,happiness
worry,worry,neutral,neutral
love,happiness,worry,relief
worry,worry,empty,surprise
neutral,happiness,love,happiness
neutral,neutral,relief,worry
neutral,happiness,neutral,neutral
happiness,worry,love,worry
neutral,worry,neutral,sadness
happiness,happiness,love,neutral
worry,neutral,worry,fun
happiness,happiness,fun,happiness
worry,neutral,neutral,sadness
worry,worry,love,sadness
neutral,worry,neutral,worry
neutral,happiness,neutral,happiness
worry,neutral,happiness,neutral
neutral,worry,worry,surprise
worry,sadness,worry,sadness
neutral,neutral,neutral,worry
worry,neutral,sadness,neutral
neutral,neutral,neutral,worry
worry,neutral,enthusiasm,boredom
sadness,worry,sadness,neutral
worry,worry,boredom,surprise
happiness,neutral,relief,worry
happiness,neutral,worry,happiness
worry,neutral,worry,fun
neutral,worry,relief,neutral
love,worry,hate,sadness
worry,neutral,worry,love
neutral,neutral,neutral,sadness
neutral,neutral,neutral,neutral
neutral,happiness,neutral,neutral
neutral,neutral,neutral,happiness
neutral,neutral,happiness,worry
neutral,happiness,relief,happiness
neutral,love,happiness,love
happiness,neutral,happiness,neutral
worry,worry,sadness,love
neutral,worry,neutral,sadness
happiness,worry,enthusiasm,hate
neutral,worry,fun,love
worry,worry,happiness,neutral
happiness,worry,love,worry
worry,happiness,sadness,happiness
sadness,neutral,sadness,relief
neutral,love,neutral,love
worry,happiness,surprise,love
worry,worry,neutral,surprise
sadness,neutral,sadness,empty
worry,sadness,neutral,sadness
neutral,worry,empty,worry
neutral,neutral,worry,surprise
neutral,neutral,empty,worry
sadness,worry,sadness,sadness
neutral,neutral,happiness,neutral
worry,worry,surprise,neutral
love,neutral,love,worry
worry,worry,worry,neutral
neutral,neutral,neutral,neutral
neutral,worry,neutral,sadness
worry,neutral,happiness,neutral
love,happiness,happiness,happiness
hate,neutral,sadness,neutral
love,happiness,neutral,surprise
happiness,neutral,surprise,worry
happiness,worry,relief,sadness
love,worry,worry,love
worry,neutral,neutral,fun
worry,neutral,neutral,worry
neutral,neutral,surprise,empty
love,neutral,love,surprise
love,worry,love,worry
worry,worry,worry,hate
neutral,worry,worry,worry
neutral,worry,worry,worry
neutral,sadness,happiness,surprise
worry,sadness,neutral,neutral
happiness,happiness,love,neutral
neutral,neutral,enthusiasm,love
neutral,sadness,neutral,sadness
neutral,neutral,love,worry
neutral,worry,sadness,neutral
neutral,neutral,sadness,sadness
neutral,neutral,neutral,neutral
neutral,neutral,enthusiasm,sadness
hate,love,neutral,happiness
worry,worry,sadness,sadness
sadness,neutral,neutral,relief
happiness,worry,love,neutral
worry,worry,worry,happiness
happiness,neutral,happiness,worry
neutral,worry,neutral,sadness
happiness,love,empty,love
happiness,happiness,neutral,happiness
worry,worry,worry,worry
neutral,worry,worry,hate
worry,neutral,neutral,neutral
happiness,worry,surprise,sadness
love,neutral,happiness,worry
worry,worry,worry,worry
worry,neutral,worry,neutral
worry,worry,worry,love
neutral,worry,empty,neutral
neutral,happiness,neutral,fun
neutral,neutral,happiness,neutral
worry,neutral,love,neutral
neutral,neutral,worry,sadness
sadness,neutral,sadness,neutral
neutral,worry,happiness,worry
happiness,neutral,happiness,neutral
hate,neutral,hate,love
worry,worry,worry,happiness
happiness,neutral,happiness,neutral
worry,worry,neutral,surprise
neutral,neutral,surprise,neutral
neutral,neutral,sadness,love
neutral,neutral,happiness,neutral
worry,neutral,fun,worry
worry,sadness,sadness,surprise
happiness,worry,worry,neutral
worry,love,worry,worry
happiness,worry,worry,relief
worry,neutral,sadness,relief
happiness,neutral,love,surprise
worry,neutral,sadness,fun
happiness,neutral,love,neutral
worry,sadness,neutral,sadness
love,love,love,love
neutral,neutral,surprise,neutral
worry,neutral,sadness,fun
happiness,worry,surprise,worry
love,happiness,worry,fun
happiness,love,neutral,love
neutral,neutral,neutral,happiness
worry,worry,relief,happiness
happiness,neutral,relief,neutral
neutral,neutral,worry,happiness
neutral,worry,neutral,worry
happiness,neutral,neutral,happiness
sadness,neutral,sadness,neutral
neutral,sadness,neutral,love
happiness,happiness,happiness,fun
neutral,worry,fun,neutral
worry,happiness,worry,worry
worry,worry,worry,sadness
happiness,neutral,worry,worry
worry,happiness,neutral,love
worry,worry,sadness,sadness
neutral,neutral,happiness,fun
worry,worry,hate,surprise
sadness,neutral,worry,neutral
love,neutral,neutral,happiness
neutral,worry,neutral,relief
worry,neutral,surprise,neutral
worry,neutral,happiness,neutral
neutral,worry,neutral,surprise
neutral,neutral,neutral,happiness
neutral,love,neutral,neutral
neutral,worry,neutral,sadness
worry,worry,fun,neutral
worry,worry,worry,worry
neutral,neutral,happiness,enthusiasm
sadness,neutral,sadness,neutral
neutral,worry,happiness,worry
worry,happiness,worry,surprise
happiness,worry,empty,worry
worry,neutral,neutral,worry
neutral,happiness,worry,enthusiasm
worry,neutral,worry,neutral
worry,neutral,surprise,neutral
neutral,worry,love,fun
neutral,happiness,sadness,sadness
worry,worry,love,worry
happiness,neutral,happiness,happiness
worry,worry,hate,sadness
worry,neutral,worry,worry
love,worry,love,hate
worry,happiness,worry,happiness
neutral,neutral,happiness,fun
neutral,happiness,neutral,enthusiasm
neutral,happiness,sadness,surprise
neutral,worry,happiness,happiness
worry,neutral,enthusiasm,love
sadness,happiness,sadness,love
worry,neutral,worry,happiness
neutral,neutral,worry,sadness
neutral,worry,sadness,neutral
neutral,love,sadness,love
worry,neutral,worry,happiness
happiness,neutral,worry,neutral
worry,neutral,hate,sadness
neutral,worry,sadness,sadness
neutral,worry,neutral,worry
worry,worry,sadness,neutral
love,worry,love,neutral
happiness,neutral,neutral,empty
neutral,neutral,neutral,sadness
worry,neutral,surprise,love
neutral,worry,worry,neutral
love,happiness,neutral,happiness
happiness,happiness,happiness,worry
relief,neutral,neutral,neutral
sadness,happiness,love,happiness
worry,worry,neutral,worry
love,neutral,love,neutral
neutral,worry,worry,sadness
sadness,neutral,hate,love
worry,neutral,worry,worry
worry,neutral,love,neutral
worry,worry,love,worry
neutral,neutral,neutral,empty
happiness,love,happiness,fun
neutral,happiness,hate,happiness
neutral,worry,neutral,happiness
worry,worry,love,sadness
love,neutral,love,neutral
worry,worry,worry,relief
worry,neutral,worry,worry
neutral,worry,fun,worry
neutral,worry,worry,happiness
worry,love,sadness,worry
neutral,neutral,love,happiness
worry,worry,hate,love
neutral,worry,relief,worry
neutral,neutral,enthusiasm,worry
worry,neutral,neutral,neutral
happiness,happiness,relief,surprise
happiness,worry,happiness,enthusiasm
neutral,happiness,love,happiness
neutral,neutral,empty,worry
worry,worry,worry,love
love,love,love,relief
neutral,neutral,worry,hate
worry,worry,neutral,neutral
happiness,love,love,worry
worry,neutral,worry,worry
sadness,neutral,sadness,empty
love,neutral,happiness,neutral
happiness,neutral,fun,happiness
neutral,worry,neutral,sadness
hate,worry,hate,fun
worry,neutral,empty,worry
neutral,neutral,love,worry
worry,neutral,empty,empty
worry,neutral,neutral,neutral
neutral,worry,neutral,neutral
worry,worry,worry,sadness
sadness,neutral,worry,neutral
neutral,neutral,worry,neutral
worry,worry,hate,neutral
love,worry,happiness,worry
neutral,worry,neutral,sadness
neutral,neutral,worry,worry
neutral,neutral,surprise,fun
neutral,neutral,worry,sadness
worry,sadness,surprise,worry
worry,worry,worry,sadness
love,love,love,happiness
worry,worry,enthusiasm,sadness
happiness,happiness,happiness,happiness
neutral,neutral,empty,neutral
worry,worry,worry,empty
worry,worry,happiness,relief
love,sadness,love,sadness
worry,worry,happiness,neutral
worry,neutral,worry,happiness
neutral,worry,neutral,surprise
worry,neutral,neutral,neutral
neutral,worry,fun,worry
